participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
109,1,0,59,28,3,1,0,0,1,0,0,1,0,1,-1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,-1,0,1,0,0,0,0,1,0,0,-1,1,1,1,1,1,0,,0,0,1,0,0,1,1,1,1,0,0,0,1,0,
110,0,0,11,4,3,,,0,,,,,,,,1,,,-1,,,,,,,,,,,1,,,,,1,,0,,,0,,,,,,,,,,,,,,,1,,,,-1,0,,,,,-1,
111,1,0,59,45,14,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,
112,1,0,59,44,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,0,0,1,1,1,1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,,1,1,1,0,1,1,1,1,1,0,1,1,1,1,
113,,0,1,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,0,59,23,7,1,-1,0,1,0,-1,1,0,0,-1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,-1,0,1,0,0,0,0,-1,0,1,1,-1,0,0,,0,0,1,0,0,0,1,1,1,0,-1,0,1,0,
115,1,0,59,51,7,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,
116,1,0,59,21,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,1,0,1,0,0,1,1,1,0,0,1,1,0,1,
117,0,0,59,38,11,1,-1,-1,1,0,-1,1,1,-1,-1,1,1,0,1,1,0,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,-1,-1,1,0,1,0,0,,0,0,1,1,1,1,1,1,1,-1,0,1,1,1,
118,1,0,59,34,6,1,1,1,1,0,-1,1,-1,0,0,1,-1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,1,1,0,1,,1,1,0,1,-1,1,1,1,1,1,0,0,1,1,
119,0,0,32,13,6,1,0,0,1,,0,1,,,0,,,1,-1,1,,,-1,1,,,0,,,,-1,1,,1,,0,0,,-1,0,,,,-1,,1,,1,,0,,,,0,,,1,1,0,,-1,,0,1,0,
120,0,0,22,5,9,,,,,,,,,-1,1,,,,-1,,,0,1,0,0,,0,,0,,,1,,,1,,,,0,,,,-1,-1,,,,,,0,,,,,,1,-1,,-1,,-1,-1,0,,-1,
121,0,0,59,11,4,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,1,-1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,
122,0,0,36,16,7,1,0,1,1,-1,,1,1,,-1,,-1,0,1,-1,,,0,1,0,-1,0,0,,,0,1,1,1,1,,,1,,,,0,1,0,,,,,,,,0,-1,0,1,1,,,,,,0,0,1,-1,
123,1,0,31,22,7,1,,1,,1,,,,,1,1,1,1,1,1,1,-1,-1,,1,0,,1,-1,,,-1,1,,1,1,-1,,1,,,1,,,,1,1,1,,,,,,1,,-1,,0,,,,,1,,-1,
124,0,0,27,15,6,,-1,,1,0,,1,1,,0,1,1,1,1,,-1,1,,1,,,-1,,,,,-1,,,,,-1,1,,,0,,,,1,,1,1,1,-1,,1,,,,,,,,0,0,,0,,,
125,1,1,20,9,3,,,,,,-1,,0,0,,,-1,,,,,,,,1,,,,,,,,,1,1,1,1,,,,,,1,-1,,,,1,0,,,,0,,,,0,0,,1,0,,,0,,1
126,1,0,60,30,4,1,1,1,0,1,1,1,0,1,-1,0,1,0,0,1,1,1,-1,0,0,1,0,0,-1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,-1,1,0,0,1,0,0,,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1
127,1,0,60,29,3,1,1,0,1,0,0,1,0,1,1,1,1,-1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,-1,1,1,1,1,0,0,,1,0,0,-1,0,1,0,0,1,0,0,0,1,0,0
