participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
75,1,5,16,10,3,,,-1,,,0,1,0,,,,,,-1,,,,,,,,,,,,1,1,,,,,,,,,,,-1,,1,0,,,,,,1,,,,,,,1,1,1,1,1,,,
76,,0,6,1,2,,,,0,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
77,0,0,55,9,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,1,0,0,1,0,1,0,,,,,
78,1,0,7,3,0,1,,,,,,,,,,1,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,0,,,,,,,,,,,,,
79,0,0,8,3,1,,,,,,,1,,,,1,,,-1,,,,,,,,,,,,,,0,1,,0,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,
80,0,0,57,21,24,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,1,0,-1,-1,1,1,-1,-1,0,,0,0,0,0,0,-1,0,1,1,0,0,0,,,
81,,0,4,0,0,,,,,,,,0,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,0,57,22,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,-1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,1,0,1,0,,,
83,0,0,57,22,15,1,-1,1,0,0,1,0,0,1,1,1,1,0,-1,1,0,-1,1,1,0,-1,0,-1,-1,1,0,-1,1,1,1,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,0,1,0,0,,0,0,0,0,1,0,1,1,1,-1,0,0,,,
84,1,0,57,39,16,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,-1,-1,1,-1,0,1,0,1,,1,1,1,1,-1,1,1,1,1,1,1,1,,,
85,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,0,1,0,1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,0,57,23,5,1,-1,-1,0,0,0,0,0,1,1,-1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,-1,-1,0,1,1,1,1,1,0,,1,0,1,0,0,0,0,1,0,1,0,0,,,
88,1,0,12,7,0,,0,,,0,,1,0,,,,,,,,,0,,,,1,,,,,,,,1,0,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,,,,
89,1,0,57,35,10,1,1,1,0,1,1,0,0,-1,-1,1,-1,0,1,1,1,0,0,-1,1,1,0,-1,1,-1,1,1,1,1,0,-1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,0,,1,0,1,1,1,1,1,1,1,1,-1,0,,,
90,0,0,23,6,1,0,0,,,,1,,,0,0,0,,0,,,1,,,,0,,,,0,,,,,,1,0,0,0,-1,0,0,1,,,,1,,0,,,,0,,,1,,0,,,,,,,,,
91,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
